group_code,action,winner_course_id,winner_course_name,affected_course_id,affected_course_name,details
"T532A","DELETE_OBSOLETE","","","999015","SPPIVT T532B1 Paint Application: T532A plus material prep, application & quality criteria EBA OBSOLE","Obsolete course with 0 positions and 0 trainings"
"T121","TRANSFER_POSITION","13553","SPPIVT T121 Material Handling (IL OL)","13772","SPPIVT T121 Material Handling - Parent","Transferred 1 positions (0 conflicts skipped)"
"T121","TRANSFER_TRAINING","13553","SPPIVT T121 Material Handling (IL OL)","13772","SPPIVT T121 Material Handling - Parent","Transferred 0 trainings (293 conflicts deleted - employee already had winner course)"
"T121","MERGE","13553","SPPIVT T121 Material Handling (IL OL)","13772","SPPIVT T121 Material Handling - Parent","Merged into winner. Original: 1 positions, 293 trainings"
"T121","DELETE_COURSE","13553","SPPIVT T121 Material Handling (IL OL)","13772","SPPIVT T121 Material Handling - Parent","Course deleted after merge"
"T133","TRANSFER_TRAINING","14052","SPPIVT T133 Measurement and Acceptability of Cables (IL)","14054","SPPIVT T133 Measurement and Acceptability of Cables (OL)","Transferred 1 trainings (16 conflicts deleted - employee already had winner course)"
"T133","MERGE","14052","SPPIVT T133 Measurement and Acceptability of Cables (IL)","14054","SPPIVT T133 Measurement and Acceptability of Cables (OL)","Merged into winner. Original: 2 positions, 17 trainings"
"T133","DELETE_COURSE","14052","SPPIVT T133 Measurement and Acceptability of Cables (IL)","14054","SPPIVT T133 Measurement and Acceptability of Cables (OL)","Course deleted after merge"
"T134","TRANSFER_TRAINING","999029","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (IL)","13546","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (OL)","Transferred 72 trainings (0 conflicts deleted - employee already had winner course)"
"T134","MERGE","999029","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (IL)","13546","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (OL)","Merged into winner. Original: 2 positions, 72 trainings"
"T134","DELETE_COURSE","999029","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (IL)","13546","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (OL)","Course deleted after merge"
"T137","TRANSFER_POSITION","13757","SPPIVT T137 Inspection & Measurement of Micrometers (Parent)","13560","SPPIVT T137 Inspection and Measurement of Micrometers (IL OJT)","Transferred 3 positions (4 conflicts skipped)"
"T137","TRANSFER_TRAINING","13757","SPPIVT T137 Inspection & Measurement of Micrometers (Parent)","13560","SPPIVT T137 Inspection and Measurement of Micrometers (IL OJT)","Transferred 0 trainings (49 conflicts deleted - employee already had winner course)"
"T137","MERGE","13757","SPPIVT T137 Inspection & Measurement of Micrometers (Parent)","13560","SPPIVT T137 Inspection and Measurement of Micrometers (IL OJT)","Merged into winner. Original: 7 positions, 49 trainings"
"T137","DELETE_COURSE","13757","SPPIVT T137 Inspection & Measurement of Micrometers (Parent)","13560","SPPIVT T137 Inspection and Measurement of Micrometers (IL OJT)","Course deleted after merge"
"T142","TRANSFER_POSITION","13534","SPPIVT T142 Preliminary Material Review (PMR) Training","999019","SPPIVT T142 Preliminary Material Review (PMR) Training (IL)","Transferred 6 positions (0 conflicts skipped)"
"T142","MERGE","13534","SPPIVT T142 Preliminary Material Review (PMR) Training","999019","SPPIVT T142 Preliminary Material Review (PMR) Training (IL)","Merged into winner. Original: 6 positions, 0 trainings"
"T142","DELETE_COURSE","13534","SPPIVT T142 Preliminary Material Review (PMR) Training","999019","SPPIVT T142 Preliminary Material Review (PMR) Training (IL)","Course deleted after merge"
"T142","TRANSFER_TRAINING","13534","SPPIVT T142 Preliminary Material Review (PMR) Training","13533","SPPIVT T142 Preliminary Material Review (PMR) Training - PARENT","Transferred 45 trainings (106 conflicts deleted - employee already had winner course)"
"T142","MERGE","13534","SPPIVT T142 Preliminary Material Review (PMR) Training","13533","SPPIVT T142 Preliminary Material Review (PMR) Training - PARENT","Merged into winner. Original: 10 positions, 151 trainings"
"T142","DELETE_COURSE","13534","SPPIVT T142 Preliminary Material Review (PMR) Training","13533","SPPIVT T142 Preliminary Material Review (PMR) Training - PARENT","Course deleted after merge"
"T143","TRANSFER_TRAINING","999040","SPPIVT T143 Material Review Board (MRB) Training (IL)","13532","SPPIVT T143 Material Review Board (MRB) Training (OL)","Transferred 47 trainings (0 conflicts deleted - employee already had winner course)"
"T143","MERGE","999040","SPPIVT T143 Material Review Board (MRB) Training (IL)","13532","SPPIVT T143 Material Review Board (MRB) Training (OL)","Merged into winner. Original: 1 positions, 47 trainings"
"T143","DELETE_COURSE","999040","SPPIVT T143 Material Review Board (MRB) Training (IL)","13532","SPPIVT T143 Material Review Board (MRB) Training (OL)","Course deleted after merge"
"T202","TRANSFER_POSITION","13481","SPPIVT T202 Electrical Soldering Level II (IL)","13753","SPPIVT T202 Electrical Soldering Level II - PARENT","Transferred 15 positions (4 conflicts skipped)"
"T202","TRANSFER_TRAINING","13481","SPPIVT T202 Electrical Soldering Level II (IL)","13753","SPPIVT T202 Electrical Soldering Level II - PARENT","Transferred 0 trainings (264 conflicts deleted - employee already had winner course)"
"T202","MERGE","13481","SPPIVT T202 Electrical Soldering Level II (IL)","13753","SPPIVT T202 Electrical Soldering Level II - PARENT","Merged into winner. Original: 19 positions, 264 trainings"
"T202","DELETE_COURSE","13481","SPPIVT T202 Electrical Soldering Level II (IL)","13753","SPPIVT T202 Electrical Soldering Level II - PARENT","Course deleted after merge"
"T211","TRANSFER_TRAINING","999030","SPPIVT T211 Basic Mechanical Assembly (IL)","13482","SPPIVT T211 Basic Mechanical Assembly (OL)","Transferred 346 trainings (2 conflicts deleted - employee already had winner course)"
"T211","MERGE","999030","SPPIVT T211 Basic Mechanical Assembly (IL)","13482","SPPIVT T211 Basic Mechanical Assembly (OL)","Merged into winner. Original: 47 positions, 348 trainings"
"T211","DELETE_COURSE","999030","SPPIVT T211 Basic Mechanical Assembly (IL)","13482","SPPIVT T211 Basic Mechanical Assembly (OL)","Course deleted after merge"
"T301","TRANSFER_TRAINING","999031","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (IL)","13565","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (OL)","Transferred 50 trainings (0 conflicts deleted - employee already had winner course)"
"T301","MERGE","999031","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (IL)","13565","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (OL)","Merged into winner. Original: 7 positions, 50 trainings"
"T301","DELETE_COURSE","999031","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (IL)","13565","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (OL)","Course deleted after merge"
"T301","MERGE","999031","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (IL)","999046","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (PARENT)","Merged into winner. Original: 5 positions, 0 trainings"
"T301","DELETE_COURSE","999031","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (IL)","999046","SPPIVT T301 PCB Rework for Through Hole and Wire Removal (PARENT)","Course deleted after merge"
"T302","TRANSFER_POSITION","13567","SPPIVT T302 Surface Mount Solder Rework (IL)","13751","SPPIVT T302 Surface Mount Solder Rework (IL) - Parent","Transferred 2 positions (2 conflicts skipped)"
"T302","TRANSFER_TRAINING","13567","SPPIVT T302 Surface Mount Solder Rework (IL)","13751","SPPIVT T302 Surface Mount Solder Rework (IL) - Parent","Transferred 0 trainings (46 conflicts deleted - employee already had winner course)"
"T302","MERGE","13567","SPPIVT T302 Surface Mount Solder Rework (IL)","13751","SPPIVT T302 Surface Mount Solder Rework (IL) - Parent","Merged into winner. Original: 4 positions, 46 trainings"
"T302","DELETE_COURSE","13567","SPPIVT T302 Surface Mount Solder Rework (IL)","13751","SPPIVT T302 Surface Mount Solder Rework (IL) - Parent","Course deleted after merge"
"T321","TRANSFER_TRAINING","999032","SPPIVT T321 ESD Technician (IL)","13572","SPPIVT T321 ESD Technician (OL)","Transferred 37 trainings (0 conflicts deleted - employee already had winner course)"
"T321","MERGE","999032","SPPIVT T321 ESD Technician (IL)","13572","SPPIVT T321 ESD Technician (OL)","Merged into winner. Original: 1 positions, 37 trainings"
"T321","DELETE_COURSE","999032","SPPIVT T321 ESD Technician (IL)","13572","SPPIVT T321 ESD Technician (OL)","Course deleted after merge"
"T504","TRANSFER_TRAINING","999026","SPPIVT T504 Wave Solder Process (OJT)","13749","SPPIVT T504 Wave Solder Process (Parent)","Transferred 346 trainings (2 conflicts deleted - employee already had winner course)"
"T504","MERGE","999026","SPPIVT T504 Wave Solder Process (OJT)","13749","SPPIVT T504 Wave Solder Process (Parent)","Merged into winner. Original: 3 positions, 348 trainings"
"T504","DELETE_COURSE","999026","SPPIVT T504 Wave Solder Process (OJT)","13749","SPPIVT T504 Wave Solder Process (Parent)","Course deleted after merge"
"T505","TRANSFER_TRAINING","999025","SPPIVT T505 Surface Mount Assembly Process (OJT)","13752","SPPIVT T505 Surface Mount Assembly Process (Parent)","Transferred 2 trainings (1 conflicts deleted - employee already had winner course)"
"T505","MERGE","999025","SPPIVT T505 Surface Mount Assembly Process (OJT)","13752","SPPIVT T505 Surface Mount Assembly Process (Parent)","Merged into winner. Original: 2 positions, 3 trainings"
"T505","DELETE_COURSE","999025","SPPIVT T505 Surface Mount Assembly Process (OJT)","13752","SPPIVT T505 Surface Mount Assembly Process (Parent)","Course deleted after merge"
"T508","TRANSFER_TRAINING","999023","SPPIVT T508 Welding-Aluminum (OJT)","13756","SPPIVT T508 Welding-Aluminum (Parent)","Transferred 0 trainings (1 conflicts deleted - employee already had winner course)"
"T508","MERGE","999023","SPPIVT T508 Welding-Aluminum (OJT)","13756","SPPIVT T508 Welding-Aluminum (Parent)","Merged into winner. Original: 2 positions, 1 trainings"
"T508","DELETE_COURSE","999023","SPPIVT T508 Welding-Aluminum (OJT)","13756","SPPIVT T508 Welding-Aluminum (Parent)","Course deleted after merge"
"T510","MERGE","13585","SPPIVT T510 Tinning Stranded Wire (OJT)","999033","SPPIVT T510 Tinning Stranded Wire (PARENT)","Merged into winner. Original: 1 positions, 0 trainings"
"T510","DELETE_COURSE","13585","SPPIVT T510 Tinning Stranded Wire (OJT)","999033","SPPIVT T510 Tinning Stranded Wire (PARENT)","Course deleted after merge"
"T515","TRANSFER_POSITION","13466","SPPIVT T515 Torque and Threadlocker Training (IL OL)","13750","SPPIVT T515 Torque and Threadlocker Training (PARENT)","Transferred 28 positions (11 conflicts skipped)"
"T515","TRANSFER_TRAINING","13466","SPPIVT T515 Torque and Threadlocker Training (IL OL)","13750","SPPIVT T515 Torque and Threadlocker Training (PARENT)","Transferred 0 trainings (370 conflicts deleted - employee already had winner course)"
"T515","MERGE","13466","SPPIVT T515 Torque and Threadlocker Training (IL OL)","13750","SPPIVT T515 Torque and Threadlocker Training (PARENT)","Merged into winner. Original: 39 positions, 370 trainings"
"T515","DELETE_COURSE","13466","SPPIVT T515 Torque and Threadlocker Training (IL OL)","13750","SPPIVT T515 Torque and Threadlocker Training (PARENT)","Course deleted after merge"
"T519","TRANSFER_POSITION","13467","SPPIVT T519 Crimping (OJT)","13764","SPPIVT T519 Crimping (Parent)","Transferred 20 positions (11 conflicts skipped)"
"T519","TRANSFER_TRAINING","13467","SPPIVT T519 Crimping (OJT)","13764","SPPIVT T519 Crimping (Parent)","Transferred 0 trainings (317 conflicts deleted - employee already had winner course)"
"T519","MERGE","13467","SPPIVT T519 Crimping (OJT)","13764","SPPIVT T519 Crimping (Parent)","Merged into winner. Original: 31 positions, 317 trainings"
"T519","DELETE_COURSE","13467","SPPIVT T519 Crimping (OJT)","13764","SPPIVT T519 Crimping (Parent)","Course deleted after merge"
"T521","TRANSFER_POSITION","13589","SPPIVT T521 Brush Application of Dichromate PP-790","999021","SPPIVT T521 Brush Application of Dichromate PP-790 (OJT)","Transferred 3 positions (0 conflicts skipped)"
"T521","MERGE","13589","SPPIVT T521 Brush Application of Dichromate PP-790","999021","SPPIVT T521 Brush Application of Dichromate PP-790 (OJT)","Merged into winner. Original: 3 positions, 0 trainings"
"T521","DELETE_COURSE","13589","SPPIVT T521 Brush Application of Dichromate PP-790","999021","SPPIVT T521 Brush Application of Dichromate PP-790 (OJT)","Course deleted after merge"
"T521","MERGE","13589","SPPIVT T521 Brush Application of Dichromate PP-790","999039","SPPIVT T521 Brush Application of Dichromate PP-790 (PARENT)","Merged into winner. Original: 3 positions, 0 trainings"
"T521","DELETE_COURSE","13589","SPPIVT T521 Brush Application of Dichromate PP-790","999039","SPPIVT T521 Brush Application of Dichromate PP-790 (PARENT)","Course deleted after merge"
"T522","TRANSFER_POSITION","13468","SPPIVT T522 Brush Chem Film (PP-128) (OJT)","13763","SPPIVT T522 Brush Chem Film (PP-128) (Parent)","Transferred 6 positions (5 conflicts skipped)"
"T522","TRANSFER_TRAINING","13468","SPPIVT T522 Brush Chem Film (PP-128) (OJT)","13763","SPPIVT T522 Brush Chem Film (PP-128) (Parent)","Transferred 0 trainings (305 conflicts deleted - employee already had winner course)"
"T522","MERGE","13468","SPPIVT T522 Brush Chem Film (PP-128) (OJT)","13763","SPPIVT T522 Brush Chem Film (PP-128) (Parent)","Merged into winner. Original: 11 positions, 305 trainings"
"T522","DELETE_COURSE","13468","SPPIVT T522 Brush Chem Film (PP-128) (OJT)","13763","SPPIVT T522 Brush Chem Film (PP-128) (Parent)","Course deleted after merge"
"T524","TRANSFER_POSITION","13591","SPPIVT T524 Chromate Conversion Coating (Chem Film)(OJT)","13768","SPPIVT T524 Chromate Conversion Coating (Chem Film) (Parent)","Transferred 1 positions (1 conflicts skipped)"
"T524","TRANSFER_TRAINING","13591","SPPIVT T524 Chromate Conversion Coating (Chem Film)(OJT)","13768","SPPIVT T524 Chromate Conversion Coating (Chem Film) (Parent)","Transferred 0 trainings (4 conflicts deleted - employee already had winner course)"
"T524","MERGE","13591","SPPIVT T524 Chromate Conversion Coating (Chem Film)(OJT)","13768","SPPIVT T524 Chromate Conversion Coating (Chem Film) (Parent)","Merged into winner. Original: 2 positions, 4 trainings"
"T524","DELETE_COURSE","13591","SPPIVT T524 Chromate Conversion Coating (Chem Film)(OJT)","13768","SPPIVT T524 Chromate Conversion Coating (Chem Film) (Parent)","Course deleted after merge"
"T525","TRANSFER_POSITION","13485","SPPIVT T525 Metal Cleaning Process (OJT)","13758","SPPIVT T525 Metal Cleaning Process (Parent)","Transferred 4 positions (5 conflicts skipped)"
"T525","TRANSFER_TRAINING","13485","SPPIVT T525 Metal Cleaning Process (OJT)","13758","SPPIVT T525 Metal Cleaning Process (Parent)","Transferred 0 trainings (22 conflicts deleted - employee already had winner course)"
"T525","MERGE","13485","SPPIVT T525 Metal Cleaning Process (OJT)","13758","SPPIVT T525 Metal Cleaning Process (Parent)","Merged into winner. Original: 9 positions, 22 trainings"
"T525","DELETE_COURSE","13485","SPPIVT T525 Metal Cleaning Process (OJT)","13758","SPPIVT T525 Metal Cleaning Process (Parent)","Course deleted after merge"
"T528","TRANSFER_POSITION","13594","SPPIVT T528 Electroform Nickel Plating (OJT)","13769","SPPIVT T528 Electroform Nickel Plating (Parent)","Transferred 1 positions (1 conflicts skipped)"
"T528","TRANSFER_TRAINING","13594","SPPIVT T528 Electroform Nickel Plating (OJT)","13769","SPPIVT T528 Electroform Nickel Plating (Parent)","Transferred 0 trainings (8 conflicts deleted - employee already had winner course)"
"T528","MERGE","13594","SPPIVT T528 Electroform Nickel Plating (OJT)","13769","SPPIVT T528 Electroform Nickel Plating (Parent)","Merged into winner. Original: 2 positions, 8 trainings"
"T528","DELETE_COURSE","13594","SPPIVT T528 Electroform Nickel Plating (OJT)","13769","SPPIVT T528 Electroform Nickel Plating (Parent)","Course deleted after merge"
"T570","TRANSFER_POSITION","13640","SPPIVT T570 Use of Salt Spray Chamber (OJT)","14644","SPPIVT T570 Use of Salt Spray Chamber (Parent)","Transferred 1 positions (1 conflicts skipped)"
"T570","TRANSFER_TRAINING","13640","SPPIVT T570 Use of Salt Spray Chamber (OJT)","14644","SPPIVT T570 Use of Salt Spray Chamber (Parent)","Transferred 1 trainings (1 conflicts deleted - employee already had winner course)"
"T570","MERGE","13640","SPPIVT T570 Use of Salt Spray Chamber (OJT)","14644","SPPIVT T570 Use of Salt Spray Chamber (Parent)","Merged into winner. Original: 2 positions, 2 trainings"
"T570","DELETE_COURSE","13640","SPPIVT T570 Use of Salt Spray Chamber (OJT)","14644","SPPIVT T570 Use of Salt Spray Chamber (Parent)","Course deleted after merge"
"T572","MERGE","99990","SPPIVT T572 Adhesion Tape Testing for Painted Chemical Conversion Coating (OJT)","999034","SPPIVT T572 Adhesion Tape Testing for Painted Chemical Conversion Coating (PARENT)","Merged into winner. Original: 0 positions, 0 trainings"
"T572","DELETE_COURSE","99990","SPPIVT T572 Adhesion Tape Testing for Painted Chemical Conversion Coating (OJT)","999034","SPPIVT T572 Adhesion Tape Testing for Painted Chemical Conversion Coating (PARENT)","Course deleted after merge"
"T575","MERGE","13643","SPPIVT T575 Copper Sulfate Testing (OJT)","999035","SPPIVT T575 Copper Sulfate Testing (PARENT)","Merged into winner. Original: 1 positions, 0 trainings"
"T575","DELETE_COURSE","13643","SPPIVT T575 Copper Sulfate Testing (OJT)","999035","SPPIVT T575 Copper Sulfate Testing (PARENT)","Course deleted after merge"
"T576","MERGE","99989","SPPIVT T576 ID Sanding (OJT)","99988","SPPIVT T576 ID Sanding (Parent)","Merged into winner. Original: 0 positions, 0 trainings"
"T576","DELETE_COURSE","99989","SPPIVT T576 ID Sanding (OJT)","99988","SPPIVT T576 ID Sanding (Parent)","Course deleted after merge"
"T579C","TRANSFER_TRAINING","13648","SPPIVT T579C Application of Potting- Lockwire/Screws (OJT)","13761","SPPIVT T579C Application of Potting- Lockwire/Screw - Parent","Transferred 0 trainings (71 conflicts deleted - employee already had winner course)"
"T579C","MERGE","13648","SPPIVT T579C Application of Potting- Lockwire/Screws (OJT)","13761","SPPIVT T579C Application of Potting- Lockwire/Screw - Parent","Merged into winner. Original: 0 positions, 71 trainings"
"T579C","DELETE_COURSE","13648","SPPIVT T579C Application of Potting- Lockwire/Screws (OJT)","13761","SPPIVT T579C Application of Potting- Lockwire/Screw - Parent","Course deleted after merge"
"T586","TRANSFER_POSITION","13754","SPPIVT T586 Bead Blast Training (Parent)","13531","SPPIVT T586 Bead Blasting - Plastic and Glass Media (Parent)","Transferred 13 positions (0 conflicts skipped)"
"T586","TRANSFER_TRAINING","13754","SPPIVT T586 Bead Blast Training (Parent)","13531","SPPIVT T586 Bead Blasting - Plastic and Glass Media (Parent)","Transferred 100 trainings (36 conflicts deleted - employee already had winner course)"
"T586","MERGE","13754","SPPIVT T586 Bead Blast Training (Parent)","13531","SPPIVT T586 Bead Blasting - Plastic and Glass Media (Parent)","Merged into winner. Original: 13 positions, 136 trainings"
"T586","DELETE_COURSE","13754","SPPIVT T586 Bead Blast Training (Parent)","13531","SPPIVT T586 Bead Blasting - Plastic and Glass Media (Parent)","Course deleted after merge"
"T654","TRANSFER_POSITION","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13693","SPPIVT T654 FAA Employee Drug and Alcohol Training (FedReady)","Transferred 25 positions (0 conflicts skipped)"
"T654","TRANSFER_TRAINING","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13693","SPPIVT T654 FAA Employee Drug and Alcohol Training (FedReady)","Transferred 0 trainings (25 conflicts deleted - employee already had winner course)"
"T654","MERGE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13693","SPPIVT T654 FAA Employee Drug and Alcohol Training (FedReady)","Merged into winner. Original: 25 positions, 25 trainings"
"T654","DELETE_COURSE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13693","SPPIVT T654 FAA Employee Drug and Alcohol Training (FedReady)","Course deleted after merge"
"T654","MERGE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","99971","SPPIVT T654 FAA Supervisor Drug and Alcohol Training (FedReady)","Merged into winner. Original: 0 positions, 0 trainings"
"T654","DELETE_COURSE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","99971","SPPIVT T654 FAA Supervisor Drug and Alcohol Training (FedReady)","Course deleted after merge"
"T654","TRANSFER_TRAINING","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13887","SPPIVT T654 FAA Anti-Drug & Alcohol Supervisor Checklist (COL-FRM-0056)","Transferred 0 trainings (25 conflicts deleted - employee already had winner course)"
"T654","MERGE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13887","SPPIVT T654 FAA Anti-Drug & Alcohol Supervisor Checklist (COL-FRM-0056)","Merged into winner. Original: 25 positions, 25 trainings"
"T654","DELETE_COURSE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13887","SPPIVT T654 FAA Anti-Drug & Alcohol Supervisor Checklist (COL-FRM-0056)","Course deleted after merge"
"T654","TRANSFER_TRAINING","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13694","SPPIVT T654 FAA Transferring Employees into and out of Safety Sensitive Positions","Transferred 0 trainings (25 conflicts deleted - employee already had winner course)"
"T654","MERGE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13694","SPPIVT T654 FAA Transferring Employees into and out of Safety Sensitive Positions","Merged into winner. Original: 25 positions, 25 trainings"
"T654","DELETE_COURSE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13694","SPPIVT T654 FAA Transferring Employees into and out of Safety Sensitive Positions","Course deleted after merge"
